stop1_name,stop2_name,Hour,MedianRunTime,CompromiseRunTime,MinMedianTime,Route1Stop,AdjustedHour,Direction,Sort
Dudley Square Station,Washington St opp Ruggles St,0,37,34,31,Dudley-Ruggles,12:00 AM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,0,32,30.5,29,Ruggles-MelneaCass,12:00 AM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,0,22,20.5,19,MelneaCass-Harrison,12:00 AM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,0,49,46,43,Harrison-Randall,12:00 AM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,0,67.5,64.25,61,Randall-Albany,12:00 AM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,0,25,24,23,Albany-Harrison,12:00 AM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,0,61,58,55,Harrison-Washington,12:00 AM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,0,74,71,68,Washington-Tremont,12:00 AM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,0,35.5,28.75,22,Tremont-Columbus,12:00 AM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,0,35,32,29,Columbus-MassAveStation,12:00 AM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,0,23,19,15,MassAveStation-StBotolph,12:00 AM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,0,69,58,47,StBotolph-Clearway,12:00 AM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,0,56,55,54,Clearway-Newbury,12:00 AM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,0,82,79.5,77,Newbury-Beacon,12:00 AM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,0,111,111.5,112,Beacon-MassAve,12:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,0,43,43,43,MassAve-Albany,12:00 AM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,0,78,75.5,73,Albany-Sidney,12:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,0,85,77,69,Sidney-Prospect,12:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,0,57,46.5,36,Prospect-Bigelow,12:00 AM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,0,34,32,30,Bigelow-Hancock,12:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,0,24,23.25,22.5,Hancock-Dana,12:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,0,31.5,28.25,25,Dana-Trowbridge,12:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,0,34.5,32.25,30,Trowbridge-Bow,12:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,0,33,30.5,28,Bow-Holyoke,12:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,0,,,,,12:00 AM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,1,36,33.5,31,Dudley-Ruggles,1:00 AM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,1,29,29,29,Ruggles-MelneaCass,1:00 AM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,1,19,19,19,MelneaCass-Harrison,1:00 AM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,1,43,43,43,Harrison-Randall,1:00 AM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,1,67,64,61,Randall-Albany,1:00 AM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,1,23,23,23,Albany-Harrison,1:00 AM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,1,55,55,55,Harrison-Washington,1:00 AM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,1,72,70,68,Washington-Tremont,1:00 AM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,1,22,22,22,Tremont-Columbus,1:00 AM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,1,29,29,29,Columbus-MassAveStation,1:00 AM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,1,15,15,15,MassAveStation-StBotolph,1:00 AM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,1,47,47,47,StBotolph-Clearway,1:00 AM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,1,54,54,54,Clearway-Newbury,1:00 AM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,1,77,77,77,Newbury-Beacon,1:00 AM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,1,120,116,112,Beacon-MassAve,1:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,1,45,44,43,MassAve-Albany,1:00 AM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,1,77,75,73,Albany-Sidney,1:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,1,69,69,69,Sidney-Prospect,1:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,1,58,47,36,Prospect-Bigelow,1:00 AM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,1,33,31.5,30,Bigelow-Hancock,1:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,1,23,22.75,22.5,Hancock-Dana,1:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,1,25,25,25,Dana-Trowbridge,1:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,1,30,30,30,Trowbridge-Bow,1:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,1,32,30,28,Bow-Holyoke,1:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,1,,,,,1:00 AM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,5,31,31,31,Dudley-Ruggles,5:00 AM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,5,29,29,29,Ruggles-MelneaCass,5:00 AM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,5,23,21,19,MelneaCass-Harrison,5:00 AM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,5,53,48,43,Harrison-Randall,5:00 AM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,5,61,61,61,Randall-Albany,5:00 AM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,5,24,23.5,23,Albany-Harrison,5:00 AM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,5,101,78,55,Harrison-Washington,5:00 AM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,5,93,80.5,68,Washington-Tremont,5:00 AM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,5,40,31,22,Tremont-Columbus,5:00 AM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,5,31,30,29,Columbus-MassAveStation,5:00 AM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,5,31,23,15,MassAveStation-StBotolph,5:00 AM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,5,79,63,47,StBotolph-Clearway,5:00 AM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,5,61,57.5,54,Clearway-Newbury,5:00 AM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,5,80,78.5,77,Newbury-Beacon,5:00 AM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,5,112,112,112,Beacon-MassAve,5:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,5,50,46.5,43,MassAve-Albany,5:00 AM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,5,73,73,73,Albany-Sidney,5:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,5,96,82.5,69,Sidney-Prospect,5:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,5,56,46,36,Prospect-Bigelow,5:00 AM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,5,33,31.5,30,Bigelow-Hancock,5:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,5,22.5,22.5,22.5,Hancock-Dana,5:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,5,32,28.5,25,Dana-Trowbridge,5:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,5,31,30.5,30,Trowbridge-Bow,5:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,5,28,28,28,Bow-Holyoke,5:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,5,,,,,5:00 AM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,6,31,31,31,Dudley-Ruggles,6:00 AM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,6,34.5,31.75,29,Ruggles-MelneaCass,6:00 AM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,6,30,24.5,19,MelneaCass-Harrison,6:00 AM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,6,67,55,43,Harrison-Randall,6:00 AM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,6,88,74.5,61,Randall-Albany,6:00 AM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,6,27,25,23,Albany-Harrison,6:00 AM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,6,90,72.5,55,Harrison-Washington,6:00 AM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,6,68,68,68,Washington-Tremont,6:00 AM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,6,51,36.5,22,Tremont-Columbus,6:00 AM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,6,29,29,29,Columbus-MassAveStation,6:00 AM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,6,77,46,15,MassAveStation-StBotolph,6:00 AM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,6,91,69,47,StBotolph-Clearway,6:00 AM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,6,70,62,54,Clearway-Newbury,6:00 AM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,6,84,80.5,77,Newbury-Beacon,6:00 AM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,6,132.5,122.25,112,Beacon-MassAve,6:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,6,55,49,43,MassAve-Albany,6:00 AM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,6,85,79,73,Albany-Sidney,6:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,6,99,84,69,Sidney-Prospect,6:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,6,36,36,36,Prospect-Bigelow,6:00 AM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,6,30,30,30,Bigelow-Hancock,6:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,6,24,23.25,22.5,Hancock-Dana,6:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,6,31,28,25,Dana-Trowbridge,6:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,6,30,30,30,Trowbridge-Bow,6:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,6,29,28.5,28,Bow-Holyoke,6:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,6,,,,,6:00 AM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,7,44,37.5,31,Dudley-Ruggles,7:00 AM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,7,60,44.5,29,Ruggles-MelneaCass,7:00 AM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,7,42,30.5,19,MelneaCass-Harrison,7:00 AM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,7,76.5,59.75,43,Harrison-Randall,7:00 AM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,7,87,74,61,Randall-Albany,7:00 AM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,7,33,28,23,Albany-Harrison,7:00 AM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,7,115,85,55,Harrison-Washington,7:00 AM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,7,117,92.5,68,Washington-Tremont,7:00 AM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,7,84,53,22,Tremont-Columbus,7:00 AM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,7,39,34,29,Columbus-MassAveStation,7:00 AM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,7,98.5,56.75,15,MassAveStation-StBotolph,7:00 AM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,7,92,69.5,47,StBotolph-Clearway,7:00 AM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,7,77,65.5,54,Clearway-Newbury,7:00 AM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,7,84,80.5,77,Newbury-Beacon,7:00 AM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,7,179,145.5,112,Beacon-MassAve,7:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,7,69,56,43,MassAve-Albany,7:00 AM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,7,94,83.5,73,Albany-Sidney,7:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,7,114.5,91.75,69,Sidney-Prospect,7:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,7,65,50.5,36,Prospect-Bigelow,7:00 AM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,7,36,33,30,Bigelow-Hancock,7:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,7,29,25.75,22.5,Hancock-Dana,7:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,7,42,33.5,25,Dana-Trowbridge,7:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,7,34,32,30,Trowbridge-Bow,7:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,7,36,32,28,Bow-Holyoke,7:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,7,,,,,7:00 AM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,8,43,37,31,Dudley-Ruggles,8:00 AM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,8,56,42.5,29,Ruggles-MelneaCass,8:00 AM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,8,40,29.5,19,MelneaCass-Harrison,8:00 AM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,8,79.5,61.25,43,Harrison-Randall,8:00 AM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,8,96,78.5,61,Randall-Albany,8:00 AM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,8,38,30.5,23,Albany-Harrison,8:00 AM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,8,121,88,55,Harrison-Washington,8:00 AM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,8,131,99.5,68,Washington-Tremont,8:00 AM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,8,94,58,22,Tremont-Columbus,8:00 AM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,8,40,34.5,29,Columbus-MassAveStation,8:00 AM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,8,94.5,54.75,15,MassAveStation-StBotolph,8:00 AM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,8,89,68,47,StBotolph-Clearway,8:00 AM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,8,89,71.5,54,Clearway-Newbury,8:00 AM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,8,95.5,86.25,77,Newbury-Beacon,8:00 AM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,8,202.5,157.25,112,Beacon-MassAve,8:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,8,77,60,43,MassAve-Albany,8:00 AM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,8,95,84,73,Albany-Sidney,8:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,8,124,96.5,69,Sidney-Prospect,8:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,8,75,55.5,36,Prospect-Bigelow,8:00 AM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,8,39,34.5,30,Bigelow-Hancock,8:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,8,34,28.25,22.5,Hancock-Dana,8:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,8,44,34.5,25,Dana-Trowbridge,8:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,8,38,34,30,Trowbridge-Bow,8:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,8,38,33,28,Bow-Holyoke,8:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,9,,,,,8:00 AM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,9,42,36.5,31,Dudley-Ruggles,9:00 AM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,9,47,38,29,Ruggles-MelneaCass,9:00 AM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,9,42,30.5,19,MelneaCass-Harrison,9:00 AM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,9,75.5,59.25,43,Harrison-Randall,9:00 AM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,9,94,77.5,61,Randall-Albany,9:00 AM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,9,45,34,23,Albany-Harrison,9:00 AM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,9,117,86,55,Harrison-Washington,9:00 AM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,9,106,87,68,Washington-Tremont,9:00 AM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,9,74,48,22,Tremont-Columbus,9:00 AM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,9,42,35.5,29,Columbus-MassAveStation,9:00 AM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,9,92,53.5,15,MassAveStation-StBotolph,9:00 AM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,9,92,69.5,47,StBotolph-Clearway,9:00 AM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,9,80,67,54,Clearway-Newbury,9:00 AM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,9,88,82.5,77,Newbury-Beacon,9:00 AM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,9,192,152,112,Beacon-MassAve,9:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,9,84.5,63.75,43,MassAve-Albany,9:00 AM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,9,102,87.5,73,Albany-Sidney,9:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,9,129,99,69,Sidney-Prospect,9:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,9,75,55.5,36,Prospect-Bigelow,9:00 AM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,9,38,34,30,Bigelow-Hancock,9:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,9,32,27.25,22.5,Hancock-Dana,9:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,9,41,33,25,Dana-Trowbridge,9:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,9,37,33.5,30,Trowbridge-Bow,9:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,9,38,33,28,Bow-Holyoke,9:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,9,,,,,9:00 AM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,10,49,40,31,Dudley-Ruggles,10:00 AM,Northbound,0
